Source,Target
student 8,student 3
student 8,student 21
student 8,student 22
student 21,student 2
student 21,student 3
student 21,student 6
student 21,student 7
student 21,student 8
student 21,student 22
student 4,student 6
student 4,student 9
student 4,student 13
student 4,student 15
student 4,student 22
student 7,student 2
student 7,student 3
student 7,student 6
student 7,student 8
student 7,student 21
student 7,student 22
student 5,student 7
student 5,student 16
student 5,student 17
student 5,student 18
student 5,student 19
student 5,student 20
student 3,student 2
student 3,student 8
student 3,student 13
student 3,student 21
student 22,student 2
student 22,student 3
student 22,student 6
student 22,student 8
student 22,student 9
student 22,student 13
student 22,student 15
student 22,student 21
student 13,student 3
student 13,student 4
student 13,student 6
student 13,student 7
student 13,student 8
student 13,student 9
student 13,student 15
student 13,student 16
student 13,student 18
student 13,student 21
student 13,student 22
student 14,student 2
student 14,student 4
student 14,student 6
student 14,student 7
student 14,student 8
student 14,student 9
student 14,student 12
student 14,student 13
student 14,student 15
student 16,student 5
student 16,student 10
student 16,student 16
student 16,student 17
student 16,student 18
student 16,student 19
student 16,student 20
